,Name,Category,DateImpact,Year,Landfall
91,Unnamed,2,18-Oct,1910,Florida
96,Unnamed,2,5-Jul,1916,Florida
97,Unnamed,2,18-Oct,1916,Florida
103,Unnamed,2,27-Jul,1926,Florida
106,Unnamed,2,8-Aug,1928,Florida
113,Unnamed,2,4-Nov,1935,Florida
114,Unnamed,2,31-Jul,1936,Florida
116,Unnamed,2,6-Oct,1941,Florida
124,Unnamed,2,5-Oct,1948,Florida
132,Cleo,2,27-Aug,1964,Florida
133,Dora,2,10-Sep,1964,Florida
134,Isbell,2,14-Oct,1964,Florida
137,Inez,2,8-Oct,1966,Florida
138,Gladys,2,19-Oct,1968,Florida
141,David,2,3-Sep,1979,Florida
143,Kate,2,21-Nov,1985,Florida
146,Erin,2,3-Aug,1995,Florida
149,Georges,2,25-Sep,1998,Florida
152,Frances,2,5-Sep,2004,Florida
160,Matthew,2,7-Oct,2016,Florida
163,Sally,2,16-Sep,2020,Florida
171,Unnamed,2,28-Aug,1881,Georgia
177,Unnamed,2,29-Sep,1896,Georgia
184,Unnamed,2,15-Oct,1947,Georgia
186,David,2,4-Sep,1979,Georgia
189,Michael,2,10-Oct,2018,Georgia
190,Unnamed,2,25-Aug,1852,Louisiana
194,Unnamed,2,15-Sep,1860,Louisiana
195,Unnamed,2,2-Oct,1860,Louisiana
196,Unnamed,2,13-Sep,1865,Louisiana
197,Unnamed,2,4-Oct,1867,Louisiana
200,Unnamed,2,23-Aug,1879,Louisiana
202,Unnamed,2,14-Jun,1886,Louisiana
205,Unnamed,2,19-Aug,1888,Louisiana
207,Unnamed,2,7-Sep,1893,Louisiana
215,Unnamed,2,29-Sep,1917,Louisiana
217,Unnamed,2,21-Sep,1920,Louisiana
220,Unnamed,2,16-Jun,1934,Louisiana
222,Unnamed,2,7-Aug,1940,Louisiana
223,Unnamed,2,19-Sep,1947,Louisiana
225,Flossy,2,24-Sep,1956,Louisiana
228,Hilda,2,3-Oct,1964,Louisiana
231,Edith,2,16-Sep,1971,Louisiana
245,Gustav,2,1-Sep,2008,Louisiana
250,Delta,2,9-Oct,2020,Louisiana
253,Unnamed,2,4-Oct,1869,Maine
263,Unnamed,2,21-Sep,1938,Massachusetts
265,Carol,2,31-Aug,1954,Massachusetts
266,Edna,2,11-Sep,1954,Massachusetts
268,Bob,2,19-Aug,1991,Massachusetts
272,Unnamed,2,15-Sep,1860,Mississippi
274,Unnamed,2,2-Oct,1893,Mississippi
276,Unnamed,2,27-Sep,1906,Mississippi
277,Unnamed,2,21-Sep,1909,Mississippi
278,Unnamed,2,29-Sep,1915,Mississippi
282,Unnamed,2,19-Sep,1947,Mississippi
287,Georges,2,29-Sep,1998,Mississippi
290,Zeta,2,29-Oct,2020,Mississippi
302,Unnamed,2,15-Sep,1944,New York
305,Donna,2,12-Sep,1960,New York
309,Bob,2,19-Aug,1991,New York
316,Unnamed,2,23-Oct,1878,North Carolina
319,Unnamed,2,9-Sep,1881,North Carolina
320,Unnamed,2,11-Sep,1883,North Carolina
321,Unnamed,2,25-Sep,1885,North Carolina
327,Unnamed,2,31-Oct,1899,North Carolina
335,Unnamed,2,16-Sep,1933,North Carolina
339,Unnamed,2,14-Sep,1944,North Carolina
345,Connie,2,12-Aug,1955,North Carolina
