Weather and Climate Billion-Dollar Disasters to affect the U.S. from 1980-2021 (CPI-Adjusted),,,
Name,Disaster,Total CPI-Adjusted Cost (Millions of Dollars),Deaths
Western Wildfires (Summer-Fall 2012),Wildfire,2155.9,8
U.S. Drought/Heat Wave (2012),Drought,37504.6,123
Southern Severe Weather (February 2013),Severe Storm,1124.8,1
Southeast Severe Weather (March 2013),Severe Storm,2464.4,1
Midwest/Plains Severe Weather (April 2013),Severe Storm,1761.7,1
Illinois Flooding and Severe Weather (April 2013),Flooding,1313.9,4
Midwest/Plains/East Tornadoes (May 2013),Severe Storm,2928.3,27
Midwest/Plains/Northeast Tornadoes (May 2013),Severe Storm,2212.4,10
Midwest Severe Weather (August 2013),Severe Storm,1260.8,0
Colorado Flooding (September 2013),Flooding,1825.3,9
Ohio Valley Tornadoes (November 2013),Severe Storm,1330.5,8
Western/Plains Drought/Heat Wave (Spring-Fall 2013),Drought,12824,53
Midwest/Southeast/Northeast Winter Storm (January 2014),Winter Storm,2629.1,16
Plains Severe Weather (April 2014),Severe Storm,1708.7,0
Central Severe Weather (April 2014),Severe Storm,1101.6,0
Midwest/Southeast/Northeast Tornadoes and Flooding (April 2014),Severe Storm,2083.3,33
Rockies/Midwest/Eastern Severe Weather (May 2014),Severe Storm,4418.9,0
Rockies/Central Plains Severe Weather (June 2014),Severe Storm,2283.9,2
Michigan and Northeast Flooding (August 2014),Flooding,1227.7,2
Rockies/Plains Severe Weather (September 2014),Severe Storm,1666.5,0
Western Drought (2014),Drought,4781.5,0
"Central and Eastern Winter storm, Cold Wave (February 2015)",Winter Storm,3584.3,30
Midwest/Ohio Valley Severe Weather (April 2015),Severe Storm,1866.7,2
South/Southeast Severe Weather (April 2015),Severe Storm,1540.5,0
South and Southeast Severe Weather (April 2015),Severe Storm,1132.8,3
Southern Plains Tornadoes (May 2015),Severe Storm,1513.8,4
Texas and Oklahoma Flooding and Severe Weather (May 2015),Flooding,3025.4,31
Central and Northeast Severe Weather (June 2015),Severe Storm,1394.7,1
South Carolina and East Coast Flooding (October 2015),Flooding,2377.8,25
Western and Alaskan Wildfires (Summer-Fall 2015),Wildfire,3603.3,12
Texas Tornadoes and Midwest Flooding (December 2015),Severe Storm,2354.3,50
Western Drought (2015),Drought,5404,0
Southeast and Eastern Tornadoes (February 2016),Severe Storm,1248,10
Texas and Louisiana Flooding (March 2016),Flooding,2753.7,5
Southern Severe Weather (March 2016),Severe Storm,1440.2,1
North Texas Hail Storm (March 2016),Severe Storm,2457.1,0
North/Central Texas Hail Storm (April 2016),Severe Storm,4163.4,0
Houston Flooding (April 2016),Flooding,3211.2,8
South/Southeast Tornadoes (April 2016),Severe Storm,2849.5,6
Plains Tornadoes and Central Severe Weather (May 2016),Severe Storm,2029.1,2
Rockies/Central Tornadoes and Severe Weather (May 2016),Severe Storm,1352.7,0
West Virginia Flooding and Ohio Valley Tornadoes (June 2016),Flooding,1162.5,23
Rockies and Northeast Severe Weather (July 2016),Severe Storm,1729.6,0
Louisiana Flooding (August 2016),Flooding,12000,13
Hurricane Allen (August 1980),Tropical Cyclone,2012,13
West/Northeast/Southeast Drought (2016),Drought,4132.2,0
Western/Southeast Wildfires (Summer-Fall 2016),Wildfire,2826.1,21
Southern Tornado Outbreak and Western Storms (January 2017),Severe Storm,1293,24
California Flooding (February 2017),Flooding,1755,5
Central/Southeast Tornado Outbreak (March 2017),Severe Storm,2095.1,6
Midwest Tornado Outbreak (March 2017),Severe Storm,2524.2,2
Southeast Freeze (March 2017),Freeze,1170,0
South/Southeast Severe Weather (March 2017),Severe Storm,3126.2,0
Southeast Severe Weather and Tornadoes (April 2017),Severe Storm,1132.2,1
Missouri and Arkansas Flooding and Central Severe Weather (May 2017),Flooding,1941.2,20
Colorado Hail Storm and Central Severe Weather (May 2017),Severe Storm,3886,0
North Central Severe Weather and Tornadoes (May 2017),Severe Storm,1091.5,1
Minnesota Hail Storm and Upper Midwest Severe Weather (June 2017),Severe Storm,2726,0
Midwest Severe Weather (June 2017),Severe Storm,1750.5,0
Midwest Severe Weather (June 2017),Severe Storm,1653,0
Hurricane Gloria (September 1985),Tropical Cyclone,2242.9,11
Hurricane Dorian (September 2019),Tropical Cyclone,1787.1,10
Hurricane Isaac (August 2012),Tropical Cyclone,3399.1,9
"North Dakota, South Dakota and Montana Drought (Spring-Fall 2017)",Drought,2925,0
"Western Wildfires, California Firestorm (Summer-Fall 2017)",Wildfire,20885.8,54
Central and Eastern Winter Storm (January 2018),Winter Storm,1189.1,22
Northeast Winter Storm (March 2018),Winter Storm,2501.1,9
Southeastern Tornadoes and Severe Weather (March 2018),Severe Storm,1655.3,0
Southern and Eastern Tornadoes and Severe Weather (April 2018),Severe Storm,1489.6,3
Central and Northeastern Severe Weather (May 2018),Severe Storm,1571,0
Central and Eastern Severe Weather (May 2018),Severe Storm,1548.1,5
Texas Hail Storm (June 2018),Severe Storm,1469,0
Colorado Hail Storm (June 2018),Severe Storm,1079.2,0
Colorado Hail Storm (June 2018),Severe Storm,2512,0
Central and Eastern Tornadoes and Severe Weather (July 2018),Severe Storm,1791.3,0
Rockies and Plains Hail Storms (August 2018),Severe Storm,1158.4,0
Hurricane Iniki (September 1992),Tropical Cyclone,6231,7
Hurricane Zeta (October 2020),Tropical Cyclone,4743.7,6
Southwest/Southern Plains Drought (Summer-Fall 2018),Drought,3408.6,0
"Western Wildfires, California Firestorm (Summer-Fall 2018)",Wildfire,27120,106
"Southeast, Ohio Valley and Northeast Severe Weather (February 2019)",Severe Storm,1386,2
Texas Hail Storm (March 2019),Severe Storm,1719.2,0
Missouri River and North Central Flooding (March 2019),Flooding,12121.6,3
Southern and Eastern Tornadoes and Severe Weather (April 2019),Severe Storm,1389.8,7
