Track for Larry                2021
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
09/07/2021 05:58:47     23.178 N     54.643 W
09/07/2021 06:00:47     23.182 N     54.646 W
09/07/2021 06:02:46     23.186 N     54.649 W
09/07/2021 06:04:46     23.190 N     54.652 W
09/07/2021 06:06:47     23.194 N     54.655 W
09/07/2021 06:08:47     23.199 N     54.658 W
09/07/2021 06:10:46     23.203 N     54.661 W
09/07/2021 06:12:46     23.207 N     54.664 W
09/07/2021 06:14:47     23.211 N     54.667 W
09/07/2021 06:16:46     23.215 N     54.670 W
09/07/2021 06:18:46     23.220 N     54.673 W
09/07/2021 06:20:47     23.224 N     54.676 W
09/07/2021 06:22:47     23.228 N     54.679 W
09/07/2021 06:24:46     23.232 N     54.682 W
09/07/2021 06:26:46     23.237 N     54.685 W
09/07/2021 06:28:47     23.241 N     54.688 W
09/07/2021 06:30:47     23.245 N     54.691 W
09/07/2021 06:32:46     23.249 N     54.694 W
09/07/2021 06:34:46     23.254 N     54.697 W
09/07/2021 06:36:47     23.258 N     54.700 W
09/07/2021 06:38:47     23.262 N     54.703 W
09/07/2021 06:40:46     23.266 N     54.706 W
09/07/2021 06:42:46     23.271 N     54.709 W
09/07/2021 06:44:47     23.275 N     54.712 W
09/07/2021 06:46:46     23.279 N     54.715 W
09/07/2021 06:48:46     23.283 N     54.719 W
09/07/2021 06:50:47     23.288 N     54.722 W
09/07/2021 06:52:47     23.292 N     54.725 W
09/07/2021 06:54:46     23.296 N     54.728 W
09/07/2021 06:56:46     23.300 N     54.731 W
09/07/2021 06:58:47     23.305 N     54.735 W
09/07/2021 07:00:47     23.309 N     54.738 W
09/07/2021 07:02:46     23.313 N     54.741 W
09/07/2021 07:04:46     23.317 N     54.744 W
09/07/2021 07:06:47     23.322 N     54.748 W
09/07/2021 07:08:47     23.326 N     54.751 W
09/07/2021 07:10:46     23.330 N     54.754 W
09/07/2021 07:12:46     23.334 N     54.758 W
09/07/2021 07:14:47     23.339 N     54.761 W
09/07/2021 07:16:46     23.343 N     54.764 W
09/07/2021 07:18:46     23.347 N     54.768 W
09/07/2021 07:20:47     23.352 N     54.771 W
09/07/2021 07:22:47     23.356 N     54.774 W
09/07/2021 07:24:46     23.360 N     54.778 W
09/07/2021 07:26:46     23.364 N     54.781 W
09/07/2021 07:28:47     23.369 N     54.785 W
09/07/2021 07:30:47     23.373 N     54.788 W
09/07/2021 07:32:46     23.377 N     54.792 W
09/07/2021 07:34:46     23.381 N     54.795 W
09/07/2021 07:36:47     23.386 N     54.799 W
09/07/2021 07:38:47     23.390 N     54.802 W
09/07/2021 07:40:46     23.394 N     54.806 W
09/07/2021 07:42:46     23.398 N     54.809 W
09/07/2021 07:44:47     23.403 N     54.813 W
09/07/2021 07:46:46     23.407 N     54.817 W
09/07/2021 07:48:46     23.411 N     54.820 W
09/07/2021 07:50:47     23.415 N     54.824 W
09/07/2021 07:52:47     23.419 N     54.827 W
09/07/2021 07:54:46     23.424 N     54.831 W
09/07/2021 07:56:46     23.428 N     54.835 W
09/07/2021 07:58:47     23.432 N     54.838 W
09/07/2021 08:00:46     23.436 N     54.842 W
09/07/2021 08:02:47     23.441 N     54.846 W
09/07/2021 08:04:47     23.445 N     54.850 W
09/07/2021 08:06:47     23.449 N     54.853 W
09/07/2021 08:08:47     23.453 N     54.857 W
09/07/2021 08:10:46     23.458 N     54.861 W
09/07/2021 08:12:46     23.462 N     54.865 W
09/07/2021 08:14:46     23.466 N     54.868 W
09/07/2021 08:16:47     23.470 N     54.872 W
09/07/2021 08:18:47     23.475 N     54.876 W
09/07/2021 08:20:47     23.479 N     54.880 W
09/07/2021 08:22:47     23.483 N     54.884 W
09/07/2021 08:24:46     23.487 N     54.888 W
09/07/2021 08:26:46     23.492 N     54.891 W
09/07/2021 08:28:46     23.496 N     54.895 W
09/07/2021 08:30:46     23.500 N     54.899 W
09/07/2021 08:32:47     23.504 N     54.903 W
09/07/2021 08:34:47     23.508 N     54.907 W
09/07/2021 08:36:47     23.513 N     54.911 W
09/07/2021 08:38:47     23.517 N     54.915 W
09/07/2021 08:40:46     23.521 N     54.919 W
09/07/2021 08:42:46     23.525 N     54.923 W
09/07/2021 08:44:46     23.530 N     54.927 W
09/07/2021 08:46:47     23.534 N     54.931 W
09/07/2021 08:48:47     23.538 N     54.935 W
09/07/2021 08:50:47     23.542 N     54.939 W
09/07/2021 08:52:47     23.547 N     54.943 W
09/07/2021 08:54:46     23.551 N     54.947 W
09/07/2021 08:56:46     23.555 N     54.951 W
09/07/2021 08:58:46     23.559 N     54.955 W
09/07/2021 09:00:46     23.563 N     54.959 W
09/07/2021 09:02:47     23.568 N     54.963 W
09/07/2021 09:04:47     23.572 N     54.967 W
09/07/2021 09:06:47     23.576 N     54.971 W
09/07/2021 09:08:47     23.580 N     54.975 W
09/07/2021 09:10:46     23.585 N     54.980 W
09/07/2021 09:12:46     23.589 N     54.984 W
09/07/2021 09:14:46     23.593 N     54.988 W
09/07/2021 09:16:47     23.597 N     54.992 W
09/07/2021 09:18:47     23.601 N     54.996 W
09/07/2021 09:20:47     23.606 N     55.000 W
09/07/2021 09:22:47     23.610 N     55.005 W
09/07/2021 09:24:46     23.614 N     55.009 W
09/07/2021 09:26:46     23.618 N     55.013 W
09/07/2021 09:28:46     23.623 N     55.017 W
09/07/2021 09:30:46     23.627 N     55.021 W
09/07/2021 09:32:47     23.631 N     55.026 W
09/07/2021 09:34:47     23.635 N     55.030 W
09/07/2021 09:36:47     23.639 N     55.034 W
09/07/2021 09:38:47     23.644 N     55.038 W
09/07/2021 09:40:46     23.648 N     55.043 W
09/07/2021 09:42:46     23.652 N     55.047 W
09/07/2021 09:44:46     23.656 N     55.051 W
09/07/2021 09:46:47     23.660 N     55.056 W
09/07/2021 09:48:47     23.665 N     55.060 W
09/07/2021 09:50:47     23.669 N     55.064 W
